artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
gigi d'agostino,l'amour toujours,238759,False,2011,1,63.282051282051285,72.87287287287288,7,-7.932,1,5.0694444444444455,3.6730123180291154,0.0482,42.20398593200469,83.04213771839672,139.066,pop,3.9793166666666666
eiffel 65,move your body - gabry ponte original radio edit,268863,False,1999,56,76.41025641025642,95.89589589589589,7,-9.664,1,4.982638888888889,9.104143337066068,0.324,62.48534583821805,98.6639260020555,129.962,pop,4.48105
bomfunk mc's,freestyler,306333,False,2000,55,84.3076923076923,92.2922922922923,11,-5.798,0,17.170138888888893,3.258678611422172,0.325,29.54279015240328,58.37615621788284,163.826,pop,5.10555
sting,desert rose,285960,False,1999,62,60.1025641025641,65.96596596596596,0,-7.92,0,5.277777777777779,1.2318029115341544,0.0,12.42672919109027,15.107913669064748,111.989,rock,4.766
melanie c,never be the same again,294200,False,1999,61,70.66666666666667,68.56856856856858,3,-5.153,1,8.298611111111112,10.313549832026876,0.0,13.95076201641266,40.904419321685516,160.067,pop,4.903333333333333
aaliyah,try again,284000,False,2002,53,81.74358974358975,62.262262262262254,6,-5.642,0,50.34722222222222,9.036954087346023,0.0,9.859320046893318,75.12846865364851,93.02,hip hop,4.733333333333333
anastacia,i'm outta love - radio edit,245400,False,1999,64,78.05128205128206,71.67167167167166,10,-5.8,0,9.722222222222223,44.34490481522956,0.0,9.038686987104338,66.70092497430628,119.41,pop,4.09
alice deejay,better off alone,214883,False,2000,73,68.82051282051282,88.08808808808809,8,-6.149,0,9.583333333333334,0.20268756998880177,0.691,33.41148886283704,80.36998972250771,136.953,pop,3.581383333333333
gigi d'agostino,the riddle,285426,False,1999,64,75.8974358974359,87.68768768768768,6,-6.87,0,6.406250000000001,1.9372900335946248,0.00152,9.202813599062134,84.78931140801645,127.002,pop,4.7571
dr. dre,the next episode,161506,True,1999,82,94.56410256410257,90.990990990991,10,-2.429,0,46.87500000000001,3.146696528555431,0.0,10.035169988276671,31.757451181911616,95.295,hip hop,2.691766666666666
linkin park,in the end,216880,False,2000,83,57.02564102564103,86.48648648648648,3,-5.87,0,10.138888888888891,1.0727883538633818,0.0,24.501758499413835,41.109969167523126,105.143,rock,3.6146666666666665
tom jones,sexbomb,211893,False,1999,65,82.15384615384616,87.68768768768768,8,-3.94,0,7.743055555555555,16.12541993281075,1.38e-05,12.192262602579133,95.78622816032889,122.979,rock,3.53155
sonique,it feels so good,240866,False,2000,62,65.02564102564102,67.76776776776778,5,-7.278,0,5.277777777777779,1.3101903695408734,0.00103,14.77139507620164,57.34840698869477,135.012,pop,4.014433333333334
m.o.p.,cold as ice,244466,True,2000,54,67.2820512820513,88.08808808808809,11,-5.425,0,24.82638888888889,4.714445688689809,0.0,34.46658851113716,77.90339157245633,85.565,hip hop,4.074433333333333
melanie c,i turn to you,352173,False,1999,54,53.53846153846155,80.38038038038039,1,-5.825,1,5.677083333333334,0.13101903695408734,0.00167,36.34232121922626,8.04727646454265,135.205,pop,5.86955
limp bizkit,take a look around,321040,False,2000,72,43.58974358974359,85.28528528528528,11,-5.607,1,7.986111111111112,1.9596864501679732,0.306,10.961313012895662,52.6207605344296,101.968,metal,5.350666666666666
darude,sandstorm,225493,False,2001,69,54.15384615384615,96.5965965965966,11,-7.984,0,8.072916666666668,15.789473684210526,0.985,9.343493552168814,60.32887975334018,136.065,pop,3.7582166666666663
da brat,what'chu like (feat. tyrese),221160,True,2000,53,90.15384615384615,68.16816816816818,10,-8.951,0,41.66666666666667,1.9036954087346025,0.0,7.842907385697538,83.96711202466598,99.974,hip hop,3.686
chicane,don't give up,210786,False,2016,47,66.05128205128206,72.07207207207207,10,-9.635,0,7.274305555555556,0.1623740201567749,0.504,9.835873388042204,54.47070914696815,132.017,Dance/Electronic,3.5131
debelah morgan,dance with me,220106,False,2000,49,87.17948717948718,67.46746746746747,7,-7.981,0,6.475694444444445,34.60246360582307,0.000645,4.173505275498242,76.05344295991779,115.005,pop,3.668433333333333
madonna,music,225973,False,2000,58,75.48717948717949,80.28028028028028,7,-8.527,1,11.510416666666668,0.1668533034714446,0.0876,16.412661195779606,89.51695786228161,119.854,pop,3.7662166666666663
ruff endz,no more,242560,False,2000,52,86.05128205128206,64.16416416416416,10,-5.669,0,14.895833333333336,3.6282194848824187,4.56e-06,7.057444314185228,95.27235354573484,97.004,R&B,4.042666666666666
britney spears,born to make you happy,243533,False,1999,58,64.92307692307693,92.2922922922923,11,-4.842,0,7.8819444444444455,12.989921612541993,0.000465,8.32356389214537,70.50359712230217,84.11,pop,4.058883333333333
montell jordan,get it on tonite,276266,False,1999,59,83.38461538461537,49.149149149149146,10,-9.923,0,13.368055555555555,26.98768197088466,4.61e-05,9.577960140679952,89.20863309352518,99.008,hip hop,4.604433333333334
kylie minogue,spinning around,207866,False,2000,55,78.05128205128206,66.26626626626627,6,-7.645,0,9.51388888888889,32.69876819708846,6.19e-05,11.207502930832357,64.85097636176774,120.043,pop,3.464433333333333
jay-z,big pimpin',283066,True,1999,69,90.25641025641026,81.48148148148148,11,-6.307,0,24.30555555555556,18.812989921612544,0.00672,6.846424384525205,96.81397738951696,138.083,hip hop,4.717766666666667
leann rimes,i need you,229826,False,2001,61,49.02564102564103,73.67367367367366,7,-7.124,1,6.371527777777779,2.2396416573348263,9.58e-05,13.833528722157093,57.965056526207604,144.705,pop,3.830433333333333
avant,separated,255600,False,2000,55,81.84615384615385,48.048048048048045,0,-5.564,1,4.791666666666667,27.659574468085108,0.0,27.784290738569755,66.08427543679343,108.241,pop,4.26
enrique iglesias,be with you,219360,False,1999,54,70.05128205128206,86.68668668668668,1,-5.436,0,5.711805555555556,4.4232922732362825,0.00161,5.662368112543962,55.70400822199384,121.996,pop,3.656
toni braxton,he wasn't man enough,261933,False,2000,66,75.7948717948718,94.7947947947948,11,-1.916,0,7.135416666666666,1.0257558790593504,3.14e-05,38.21805392731536,78.7255909558068,88.009,pop,4.36555
bow wow,bounce with me (feat. xscape) - edited album version,175893,False,2000,36,87.38461538461539,75.07507507507508,8,-5.153,1,29.166666666666668,48.600223964165735,0.0,31.06682297772568,95.99177800616651,72.016,hip hop,2.93155
dr. dre,forgot about dre,222293,True,1999,79,94.76923076923077,74.07407407407408,8,-1.299,1,13.4375,9.260918253079508,0.0,19.10902696365768,63.82322713257965,133.974,hip hop,3.7048833333333335
backstreet boys,show me the meaning of being lonely,234960,False,1999,68,64.61538461538461,62.56256256256256,6,-5.088,0,4.375,25.867861142217247,0.0,8.968347010550996,70.19527235354575,167.998,pop,3.916
samantha mumba,gotta tell you,201946,False,2018,43,74.76923076923076,63.263263263263255,0,-8.75,0,4.843750000000001,21.388577827547593,0.0,19.460726846424386,79.54779033915726,109.981,pop,3.3657666666666666
mýa,case of the ex (whatcha gonna do),236906,False,2000,59,79.17948717948718,68.86886886886886,1,-4.715,0,7.031250000000002,6.136618141097425,9.79e-05,8.49941383352872,35.765673175745114,98.0,pop,3.9484333333333335
mary mary,shackles (praise you),198346,False,2000,64,79.8974358974359,83.48348348348348,7,-2.773,1,28.125000000000007,3.840985442329227,0.0,10.386869871043377,82.21993833504625,100.46,R&B,3.3057666666666665
next,wifey,243666,False,2004,52,85.02564102564102,65.26526526526527,7,-8.693,0,18.75,7.502799552071669,0.0,9.519343493552167,74.61459403905447,99.581,hip hop,4.0611
janet jackson,doesn't really matter,265026,False,2001,47,79.07692307692308,79.67967967967968,5,-3.081,0,13.194444444444445,11.119820828667413,0.00278,11.500586166471278,82.32271325796506,99.316,pop,4.4171
ricky martin,she bangs - english version,280626,False,2000,60,64.61538461538461,95.09509509509509,1,-4.012,1,13.993055555555559,0.10246360582306831,6.51e-06,43.72801875732708,88.1808838643371,143.866,pop,4.6771
jagged edge,he can't love u,244053,False,2000,55,73.94871794871794,83.68368368368368,8,-3.972,0,35.76388888888889,12.541993281075028,0.0,27.549824150058615,52.20966084275437,126.279,hip hop,4.06755
sisqo,incomplete,274226,True,1999,60,76.51282051282051,44.34434434434434,1,-7.693,0,13.38541666666667,31.57894736842105,0.0,16.412661195779606,27.954779033915727,119.311,hip hop,4.570433333333333
jay-z,i just wanna love u (give it 2 me),227866,True,2000,59,82.05128205128206,92.2922922922923,4,-5.125,0,41.66666666666667,33.70660694288913,9.31e-06,4.1266119577960145,82.32271325796506,98.631,hip hop,3.7977666666666665
mariah carey,thank god i found you (feat. joe & 98°),257360,False,1999,59,35.69230769230769,53.25325325325325,10,-5.882,1,5.746527777777778,66.29339305711086,0.0,12.42672919109027,15.210688591983557,129.297,pop,4.289333333333333
baha men,who let the dogs out,198400,False,2000,65,89.12820512820512,88.78878878878879,0,-4.505,1,17.239583333333332,6.77491601343785,0.0,17.35052754982415,80.57553956834533,129.221,R&B,3.306666666666666
donell jones,"u know what's up (feat. lisa ""left eye"" lopes)",243733,True,1999,63,87.58974358974359,54.35435435435436,8,-6.166,0,14.652777777777779,4.501679731243001,5.73e-05,4.9120750293083235,89.20863309352518,103.032,pop,4.062216666666667
leann rimes,can't fight the moonlight,215506,False,2001,65,64.41025641025642,83.48348348348348,6,-6.341,0,8.628472222222223,45.12877939529675,0.0,5.978898007033997,64.33710174717369,97.865,pop,3.5917666666666666
oasis,go let it out,278666,False,2000,0,41.84615384615385,84.98498498498498,2,-5.631,1,5.781250000000001,1.5229563269876818,2.51e-05,65.65064478311842,64.5426515930113,84.192,Folk/Acoustic,4.644433333333334
dj ötzi,hey baby (radio mix),219240,False,2010,58,68.30769230769232,96.89689689689689,10,-3.196,1,7.986111111111112,13.773796192609183,0.0,40.6799531066823,85.71428571428571,135.099,pop,3.654
p!nk,most girls,298960,False,2000,52,76.1025641025641,73.27327327327328,2,-6.046,0,5.399305555555555,4.748040313549832,0.00446,11.840562719812429,71.32579650565262,97.922,pop,4.982666666666667
mariah carey,against all odds (take a look at me now) (feat. westlife),199480,False,2011,0,48.30769230769231,51.451451451451454,1,-5.599,1,5.468750000000001,65.39753639417692,0.0,12.075029308323563,38.335046248715315,117.338,pop,3.324666666666667
craig david,fill me in,257200,False,2000,60,69.94871794871796,74.47447447447448,8,-6.981,1,6.336805555555555,42.10526315789473,0.00951,7.033997655334115,84.99486125385405,132.493,hip hop,4.286666666666667
christina aguilera,i turn to you,273706,False,1999,61,61.43589743589744,47.047047047047045,1,-8.356,1,6.527777777777779,42.5531914893617,0.0,13.012895662368113,30.62692702980473,127.177,pop,4.561766666666666
madonna,american pie,273533,False,2000,58,64.71794871794872,73.47347347347348,5,-7.48,0,6.25,38.96976483762597,0.0,15.82649472450176,60.739979445015415,124.036,pop,4.558883333333333
red hot chili peppers,otherside,255373,False,1999,78,46.97435897435898,79.57957957957959,0,-3.265,1,9.965277777777779,0.3538633818589026,0.000202,8.862837045720985,52.72353545734841,123.229,rock,4.256216666666667
sammie,i like it,251040,False,2000,55,84.71794871794872,65.66566566566567,9,-8.529,1,10.711805555555557,1.1310190369540873,0.000113,3.188745603751465,87.56423432682425,129.963,hip hop,4.184
craig david,7 days,235133,False,2000,70,67.58974358974359,81.2812812812813,4,-7.499,0,8.45486111111111,25.755879059350505,0.0,11.148886283704574,91.26413155190134,83.014,hip hop,3.9188833333333335
santana,maria maria (feat. the product g&b),261973,False,1999,66,79.6923076923077,60.16016016016016,2,-5.931,1,21.875000000000004,4.546472564389697,0.00201,4.079718640093787,69.88694758478931,97.911,rock,4.366216666666666
kandi,don't think i'm not,243533,False,2000,55,88.1025641025641,62.262262262262254,11,-8.196,1,7.725694444444445,7.402015677491603,0.0,4.618991793669402,44.501541623843785,134.007,pop,4.058883333333333
p!nk,there you go,202800,False,2000,55,84.3076923076923,84.78478478478479,10,-6.729,0,15.920138888888891,9.563269876819708,0.0,5.2989449003516995,68.65364850976363,107.908,pop,3.38
vengaboys,shalala lala,214819,False,2000,58,77.02564102564102,90.1901901901902,2,-5.802,1,5.694444444444445,5.643896976483762,0.00308,4.6307151230949595,100.0,124.017,pop,3.5803166666666666
ronan keating,life is a rollercoaster,234826,False,2000,59,67.17948717948718,79.17917917917919,0,-8.923,1,5.243055555555556,11.198208286674133,0.000124,39.155920281359904,88.59198355601234,118.981,pop,3.9137666666666666
madison avenue,don't call me baby,228140,False,1999,56,82.87179487179488,98.29829829829829,3,-6.588,0,5.399305555555555,6.550951847704367,0.00689,41.031652989449,98.7667009249743,124.999,Dance/Electronic,3.802333333333333
destiny's child,"jumpin', jumpin'",230200,False,1999,70,79.07692307692308,68.56856856856858,1,-4.639,1,9.843750000000002,0.6080627099664054,0.00157,6.295427901524032,70.19527235354575,88.997,pop,3.8366666666666656
céline dion,that's the way it is,241373,False,1999,64,65.02564102564102,88.68868868868869,9,-5.424,1,7.534722222222223,17.24524076147816,0.0,13.833528722157093,59.3011305241521,93.04,pop,4.022883333333334
3 doors down,kryptonite,233933,False,2000,78,55.8974358974359,86.58658658658659,11,-5.708,0,4.965277777777779,0.7435610302351623,1.1e-05,19.695193434935522,55.80678314491264,99.009,pop,3.8988833333333335
carl thomas,i wish,226760,False,2000,52,75.48717948717949,66.66666666666667,1,-4.929,1,5.8506944444444455,6.64053751399776,3.82e-05,12.543962485345839,23.021582733812952,89.824,pop,3.779333333333333
mystikal,shake ya ass,256973,True,2000,57,93.74358974358975,60.76076076076076,7,-5.658,1,55.55555555555556,7.010078387458007,0.0,6.0375146541617815,68.448098663926,98.054,hip hop,4.282883333333333
fuel,hemorrhage (in my hands),236866,False,2000,49,32.1025641025641,83.18318318318319,1,-3.894,1,7.013888888888889,0.014221724524076147,0.000341,28.13599062133646,34.1212744090442,152.034,rock,3.947766666666667
donell jones,where i wanna be,253626,False,1999,57,68.10256410256412,39.63963963963964,5,-9.131,0,5.173611111111112,58.23068309070549,0.0,31.41852286049238,46.55704008221994,102.053,pop,4.2271
savage garden,crash and burn,281466,False,1999,54,59.589743589743584,60.76076076076076,4,-8.458,1,4.861111111111112,21.164613661814112,1.6e-06,10.339976553341149,21.891058581706062,102.03,pop,4.6911
westlife,my love,231760,False,2000,68,50.358974358974365,59.35935935935935,0,-5.975,1,4.427083333333334,10.97424412094065,0.0,30.128956623681123,33.710174717368965,144.142,pop,3.8626666666666662
all saints,pure shores,268746,False,2000,62,64.71794871794872,66.46646646646647,6,-9.197,1,4.201388888888889,5.5767077267637175,0.00042,8.159437280187573,41.82939362795477,100.618,pop,4.4791
destiny's child,"independent women, pt. 1",221133,False,2001,65,74.87179487179488,60.26026026026025,6,-3.782,0,35.76388888888889,40.53751399776036,3.69e-06,19.812426729191092,95.27235354573484,97.954,pop,3.68555
*nsync,it's gonna be me,191040,False,2000,60,66.05128205128206,87.4874874874875,0,-4.666,0,13.90625,5.139977603583427,2.24e-06,6.846424384525205,90.64748201438849,165.09,pop,3.184
erykah badu,bag lady,348893,False,2000,54,74.25641025641025,41.64164164164164,5,-8.964,0,14.600694444444445,40.87346024636058,0.0,11.359906213364596,59.40390544707091,151.181,hip hop,5.814883333333333
marc anthony,you sang to me,347106,False,1999,56,59.282051282051285,89.4894894894895,10,-5.42,1,5.138888888888889,1.1534154535274355,2.66e-06,25.32239155920281,76.15621788283659,165.98,pop,5.7851
matchbox twenty,bent,256133,False,2000,54,53.12820512820513,83.08308308308308,6,-6.814,0,6.70138888888889,4.524076147816349,3.85e-06,43.96248534583822,54.162384378211726,95.468,pop,4.268883333333333
gabrielle,rise,219093,False,2001,60,57.23076923076924,48.148148148148145,8,-9.487,1,4.513888888888888,35.274356103023514,8.83e-06,10.550996483001173,64.85097636176774,144.673,pop,3.65155
backstreet boys,shape of my heart,230093,False,2000,70,58.97435897435898,78.67867867867868,9,-4.353,1,5.138888888888889,28.21948488241881,0.0,18.640093786635408,53.23741007194245,96.102,pop,3.834883333333333
creed,with arms wide open,274800,False,1999,64,42.05128205128205,53.953953953953956,0,-8.412,1,5.243055555555556,0.47592385218365063,0.00089,13.716295427901526,14.491264131551901,138.852,pop,4.58
the corrs,breathless,207506,False,2000,68,62.256410256410255,82.08208208208208,11,-7.754,1,10.364583333333334,6.058230683090706,6.8e-05,31.53575615474795,78.9311408016444,126.988,pop,3.458433333333333
joe,i wanna know,296693,False,2000,65,74.35897435897436,48.74874874874875,8,-5.959,0,6.38888888888889,29.115341545352745,1.09e-05,50.527549824150064,61.56217882836587,136.086,pop,4.944883333333333
christina aguilera,come on over baby (all i want is you) - radio version,203333,False,1999,64,85.02564102564102,91.5915915915916,8,-3.205,1,18.40277777777778,25.307950727883537,1.25e-05,28.839390386869873,80.06166495375129,118.903,pop,3.388883333333333
creed,higher,316733,False,1999,69,47.07692307692308,83.08308308308308,2,-6.254,1,6.3194444444444455,0.005767077267637178,0.00014,24.150058616647126,44.29599177800617,155.827,pop,5.278883333333333
britney spears,lucky,206226,False,2000,65,78.46153846153847,79.17917917917919,8,-5.707,1,5.503472222222223,29.339305711086226,0.000154,7.842907385697538,99.28057553956835,95.026,pop,3.4371
nelly,country grammar (hot shit),287000,True,2000,68,88.71794871794872,66.46646646646647,2,-6.822,1,18.75,0.7715565509518477,0.0,16.64712778429074,58.06783144912641,162.831,hip hop,4.783333333333333
shaggy,it wasn't me,227600,False,2000,76,87.48717948717949,60.66066066066066,0,-4.596,1,12.378472222222223,6.282194848824188,0.0,36.694021101992966,67.2147995889003,94.759,hip hop,3.793333333333333
destiny's child,survivor,254026,False,2001,70,52.717948717948715,91.1911911911912,1,-2.027,0,71.18055555555556,6.259798432250839,0.0,90.85580304806565,63.61767728674204,161.109,pop,4.233766666666667
eminem,stan,404106,True,2000,83,80.0,76.87687687687688,6,-4.325,0,41.31944444444445,4.154535274356103,2.34e-06,60.726846424384526,52.10688591983556,80.063,hip hop,6.7351
kylie minogue,can't get you out of my head,230640,False,2001,73,78.56410256410257,56.35635635635635,9,-7.516,0,5.885416666666667,2.9451287793952967,0.683,13.481828839390388,99.07502569373074,126.007,pop,3.844
christina aguilera,"lady marmalade - from ""moulin rouge"" soundtrack",264893,False,2001,68,77.94871794871796,80.18018018018019,5,-3.769,1,9.270833333333336,1.6125419932810752,1.49e-05,77.96014067995311,67.11202466598151,109.919,pop,4.414883333333333
nelly furtado,i'm like a bird,243160,False,2000,1,63.794871794871796,60.86086086086085,10,-5.085,1,6.25,15.453527435610305,5.38e-06,32.00468933177022,62.38437821171634,89.661,hip hop,4.052666666666667
shakira,"whenever, wherever",196160,False,2001,74,81.43589743589745,83.28328328328328,1,-4.862,0,7.065972222222222,26.53975363941769,1.14e-05,23.798358733880423,89.51695786228161,107.657,pop,3.269333333333333
jimmy eat world,the middle,165853,False,2001,78,65.94871794871796,84.98498498498498,2,-5.428,1,9.131944444444445,4.154535274356103,0.0,6.799531066822978,92.80575539568345,162.152,rock,2.7642166666666665
train,drops of jupiter (tell me),259933,False,2001,77,49.333333333333336,63.86386386386387,0,-5.862,1,4.791666666666667,17.133258678611423,0.0,18.053927315357562,51.07913669064749,79.064,pop,4.332216666666667
geri halliwell,it's raining men,254640,False,2001,62,65.33333333333333,92.992992992993,5,-6.03,0,7.760416666666667,7.054871220604703,0.00796,37.280187573270815,62.076053442959925,136.482,pop,4.244
blu cantrell,hit 'em up style (oops!),250706,False,2001,71,68.41025641025642,77.37737737737737,5,-4.983,0,10.173611111111112,22.508398656215007,0.0,47.362250879249714,68.55087358684482,89.976,pop,4.178433333333333
britney spears,i'm a slave 4 u,203600,False,2001,69,86.87179487179488,84.38438438438438,5,-3.579,0,18.40277777777778,46.472564389697645,0.000134,12.543962485345839,98.97225077081193,110.027,pop,3.393333333333333
kylie minogue,in your eyes,197826,False,2001,62,70.66666666666667,89.4894894894895,6,-6.342,0,11.666666666666666,14.893617021276595,4.72e-05,7.983587338804219,72.86742034943472,123.971,pop,3.2971
missy elliott,one minute man (feat. ludacris),252986,True,2001,57,63.794871794871796,66.96696696696696,9,-8.419,1,57.11805555555556,2.978723404255319,2.97e-06,17.819460726846426,58.58170606372045,93.839,hip hop,4.216433333333334
mary j. blige,family affair,265866,False,2001,76,93.43589743589745,55.15515515515516,8,-3.75,0,7.79513888888889,14.781634938409855,4.12e-05,10.11723329425557,99.58890030832477,92.887,pop,4.4311
limp bizkit,rollin' (air raid vehicle),213760,True,2000,73,61.846153846153854,93.3933933933934,1,-3.358,1,29.687500000000007,0.6618141097424413,0.0,24.150058616647126,72.86742034943472,96.306,metal,3.562666666666667
lasgo,something,220973,False,2001,65,65.94871794871796,98.1981981981982,7,-6.644,0,7.621527777777779,3.0347144456886896,8.93e-05,12.895662368112545,39.05447070914697,140.01,pop,3.682883333333333
iio,rapture (feat.nadia ali),253586,False,2006,54,67.7948717948718,85.58558558558559,8,-8.403,1,6.545138888888889,8.085106382978724,0.0185,23.329425556858148,61.76772867420349,123.943,Dance/Electronic,4.2264333333333335
emma bunton,what took you so long?,241000,False,2001,54,68.51282051282051,77.27727727727728,9,-5.4,0,5.329861111111112,13.773796192609183,0.0,39.97655334114889,93.62795477903391,118.011,pop,4.016666666666667
112,it's over now,264933,False,2001,57,67.6923076923077,71.07107107107107,1,-4.541,1,7.100694444444445,1.187010078387458,7.01e-06,8.628370457209849,23.946557040082222,97.988,hip hop,4.41555
blue,all rise,223546,False,2001,63,73.94871794871794,73.77377377377378,5,-2.734,0,5.625,13.5498320268757,0.0,19.343493552168816,95.68345323741008,97.996,pop,3.7257666666666656
jessica simpson,irresistible,194026,False,2001,43,67.38461538461539,96.5965965965966,8,-2.771,0,9.652777777777779,3.1914893617021276,8.84e-05,6.471277842907385,68.75642343268244,93.013,pop,3.2337666666666665
crazy town,butterfly,216733,False,1999,71,75.48717948717949,81.18118118118119,9,-4.17,0,14.062500000000004,0.14781634938409854,0.000142,12.543962485345839,62.589928057553955,103.502,rock,3.612216666666667
michael jackson,you rock my world,337733,False,2001,64,87.58974358974359,67.36736736736736,4,-3.132,0,32.11805555555556,4.25531914893617,0.000227,29.89449003516999,98.15005138746146,95.0,pop,5.6288833333333335
eve,let me blow ya mind,230133,True,2001,73,93.12820512820514,55.755755755755764,8,-4.243,0,18.57638888888889,27.0996640537514,0.0,8.311840562719814,92.1891058581706,90.032,hip hop,3.83555
jennifer lopez,ain't it funny,246160,False,2001,0,72.51282051282051,86.98698698698699,5,-4.525,0,8.350694444444445,11.646136618141096,0.000121,9.531066822977726,63.82322713257965,99.825,hip hop,4.102666666666667
brandy,another day in paradise - r&b-version,271626,False,2002,50,71.7948717948718,78.77877877877879,6,-5.176,0,5.677083333333334,0.7458006718924972,3.68e-05,8.487690504103167,57.14285714285715,102.043,hip hop,4.5271
nickelback,how you remind me,223840,False,2001,78,45.743589743589745,76.47647647647648,10,-5.042,1,5.729166666666667,0.1511758118701008,0.0,11.606096131301289,55.80678314491264,172.094,rock,3.7306666666666666
daft punk,one more time,320357,False,2001,76,62.871794871794876,69.76976976976977,2,-8.618,1,23.090277777777782,2.1724524076147818,0.0,38.92145369284877,48.92086330935252,122.746,hip hop,5.339283333333333
outkast,ms. jackson,270506,True,2000,82,86.46153846153845,80.68068068068068,4,-5.946,0,46.70138888888889,16.013437849944008,0.0,9.038686987104338,63.00102774922919,94.948,hip hop,4.5084333333333335
fragma,everytime you need me - radio version,213346,False,2001,50,69.94871794871796,91.7917917917918,11,-5.459,0,5.520833333333334,16.797312430011196,0.0676,39.85932004689332,81.19218910585818,137.029,pop,3.5557666666666665
mariah carey,loverboy,229173,False,2001,42,73.94871794871794,79.07907907907908,1,-4.125,1,21.52777777777778,20.492721164613663,0.0,11.723329425556859,84.37821171634121,103.141,pop,3.81955
dido,thank you,218360,False,1999,73,74.35897435897436,58.35835835835835,1,-9.942,0,7.4131944444444455,33.59462486002239,0.000238,7.796014067995312,78.31449126413156,79.984,pop,3.6393333333333335
joe,stutter (feat. mystikal) - double take remix,213026,False,2000,57,78.66666666666667,75.97597597597597,6,-6.516,1,20.312500000000004,5.74468085106383,0.0,36.34232121922626,69.5786228160329,89.989,pop,3.5504333333333333
p.o.d.,youth of the nation,256240,False,2001,69,57.74358974358974,86.08608608608608,8,-7.533,1,10.78125,0.9339305711086225,0.0106,45.72098475967175,53.134635149023644,97.867,rock,4.270666666666667
jennifer lopez,play,211493,True,2001,57,79.48717948717949,72.97297297297297,1,-4.229,0,28.125000000000007,3.393057110862262,0.00247,4.2321219226260265,91.983556012333,104.719,hip hop,3.5248833333333334
missy elliott,get ur freak on,211120,True,2001,68,81.74358974358975,75.07507507507508,0,-9.369,1,42.88194444444445,59.68645016797313,0.108,11.137162954279017,76.05344295991779,177.87,hip hop,3.518666666666667
ricky martin,nobody wants to be lonely (with christina aguilera),252706,False,2008,52,65.12820512820512,85.48548548548548,10,-5.02,0,10.625,0.6483762597984323,0.0083,7.303634232121923,60.63720452209661,100.851,pop,4.211766666666667
christina milian,am to pm,231213,False,2001,60,89.43589743589743,86.88688688688688,10,-3.036,0,20.833333333333336,17.133258678611423,2.26e-05,98.82766705744432,84.48098663926001,105.005,hip hop,3.85355
gorillaz,clint eastwood,340920,True,2001,74,68.0,69.46946946946947,10,-8.627,0,29.687500000000007,2.8331466965285554,0.0,8.182883939038687,53.95683453237411,167.953,hip hop,5.682
2pac,until the end of time,266506,True,2001,57,77.64102564102564,70.67067067067066,8,-6.665,1,35.24305555555556,2.9899216125419934,0.0,23.09495896834701,38.54059609455293,96.976,hip hop,4.441766666666667
tamia,stranger in my house,285386,False,2000,48,69.33333333333334,60.16016016016016,0,-4.905,1,5.15625,11.534154535274354,0.0,17.23329425556858,21.17163412127441,119.94,pop,4.756433333333334
